Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Flamigo,LV7.5,0,2,14,520
Flamigo,LV7.5,0,3,13,520
Flamigo,LV7.5,0,5,10,520
Flamigo,LV7.5,0,6,9,520
Flamigo,LV7.5,0,8,6,520
Flamigo,LV7.5,0,9,5,520
Flamigo,LV7.5,0,11,2,520
Flamigo,LV7.5,0,12,1,520
Flamigo,LV7.5,0,13,0,520
Flamigo,LV7.5,1,0,15,520
Flamigo,LV7.5,1,1,14,520
Flamigo,LV7.5,1,3,11,520
Flamigo,LV7.5,1,4,10,520
Flamigo,LV7.5,1,5,8,520
Flamigo,LV7.5,1,6,7,520
Flamigo,LV7.5,1,7,6,520
Flamigo,LV7.5,1,8,4,520
Flamigo,LV7.5,1,9,3,520
Flamigo,LV7.5,1,10,2,520
Flamigo,LV7.5,2,1,12,520
Flamigo,LV7.5,2,2,11,520
Flamigo,LV7.5,2,3,9,520
Flamigo,LV7.5,2,4,8,520
Flamigo,LV7.5,2,6,5,520
Flamigo,LV7.5,2,7,4,520
Flamigo,LV7.5,2,8,3,520
Flamigo,LV7.5,2,9,1,520
Flamigo,LV7.5,2,10,0,520
Flamigo,LV7.5,3,0,12,520
Flamigo,LV7.5,3,1,10,520
Flamigo,LV7.5,3,2,9,520
Flamigo,LV7.5,3,4,6,520
Flamigo,LV7.5,3,5,5,520
Flamigo,LV7.5,3,7,2,520
Flamigo,LV7.5,3,8,1,520
Flamigo,LV7.5,3,9,0,520
Flamigo,LV7.5,4,0,10,520
Flamigo,LV7.5,4,2,7,520
Flamigo,LV7.5,4,3,6,520
Flamigo,LV7.5,4,5,3,520
Flamigo,LV7.5,4,6,2,520
Flamigo,LV7.5,5,0,8,520
Flamigo,LV7.5,5,1,7,520
Flamigo,LV7.5,5,3,4,520
Flamigo,LV7.5,5,4,3,520
Flamigo,LV7.5,5,6,0,520
Flamigo,LV7.5,6,1,5,520
Flamigo,LV7.5,6,2,4,520
Flamigo,LV7.5,6,3,2,520
Flamigo,LV7.5,6,4,1,520
Flamigo,LV7.5,6,5,0,520
Flamigo,LV7.5,7,0,5,520
Flamigo,LV7.5,7,1,3,520
Flamigo,LV7.5,7,2,2,520
Flamigo,LV7.5,7,3,1,520
Flamigo,LV7,7,15,15,520
Flamigo,LV7.5,8,0,3,520
Flamigo,LV7.5,8,1,2,520
Flamigo,LV7.5,8,2,0,520
Flamigo,LV7,8,15,13,520
Flamigo,LV7.5,9,0,1,520
Flamigo,LV7.5,9,1,0,520
Flamigo,LV7,9,12,15,520
Flamigo,LV7,9,13,14,520
Flamigo,LV7,9,14,13,520
Flamigo,LV7.5,10,0,0,520
Flamigo,LV7,10,11,15,520
Flamigo,LV7,10,13,12,520
Flamigo,LV7,10,14,11,520
Flamigo,LV7,10,15,10,520
Flamigo,LV7,11,11,13,520
Flamigo,LV7,11,12,12,520
Flamigo,LV7,11,14,9,520
Flamigo,LV7,11,15,8,520
Flamigo,LV7,12,9,14,520
Flamigo,LV7,12,10,13,520
Flamigo,LV7,12,12,10,520
Flamigo,LV7,12,13,9,520
Flamigo,LV7,12,15,6,520
Flamigo,LV7,13,7,15,520
Flamigo,LV7,13,8,14,520
Flamigo,LV7,13,9,12,520
Flamigo,LV7,13,10,11,520
Flamigo,LV7,13,11,10,520
Flamigo,LV7,13,13,7,520
Flamigo,LV7,13,14,6,520
Flamigo,LV7,13,15,5,520
Flamigo,LV7,14,6,15,520
Flamigo,LV7,14,7,13,520
Flamigo,LV7,14,8,12,520
Flamigo,LV7,14,9,11,520
Flamigo,LV7,14,10,9,520
Flamigo,LV7,14,11,8,520
Flamigo,LV7,14,12,7,520
Flamigo,LV7,14,14,4,520
Flamigo,LV7,14,15,3,520
Flamigo,LV7,15,5,14,520
Flamigo,LV7,15,6,13,520
Flamigo,LV7,15,7,12,520
Flamigo,LV7,15,8,10,520
Flamigo,LV7,15,9,9,520
Flamigo,LV7,15,10,8,520
Flamigo,LV7,15,12,5,520
Flamigo,LV7,15,13,4,520
Flamigo,LV7,15,14,3,520
