Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Glimmet,LV13,0,1,3,520
Glimmet,LV12.5,0,1,14,520
Glimmet,LV13,0,2,2,520
Glimmet,LV12.5,0,2,13,520
Glimmet,LV12.5,0,4,10,520
Glimmet,LV12.5,0,5,9,520
Glimmet,LV12.5,0,7,6,520
Glimmet,LV12.5,0,8,5,520
Glimmet,LV12.5,0,9,4,520
Glimmet,LV12,0,10,14,520
Glimmet,LV12,0,11,13,520
Glimmet,LV12.5,0,12,0,520
Glimmet,LV12,0,14,9,520
Glimmet,LV12,0,15,8,520
Glimmet,LV13,1,0,3,520
Glimmet,LV12.5,1,0,14,520
Glimmet,LV12.5,1,3,10,520
Glimmet,LV12.5,1,6,6,520
Glimmet,LV12.5,1,7,5,520
Glimmet,LV12,1,8,15,520
Glimmet,LV12,1,9,14,520
Glimmet,LV12.5,1,10,1,520
Glimmet,LV12.5,1,11,0,520
Glimmet,LV12,1,12,10,520
Glimmet,LV12,1,13,9,520
Glimmet,LV13,2,1,0,520
Glimmet,LV12.5,2,1,11,520
Glimmet,LV12.5,2,2,10,520
Glimmet,LV12.5,2,4,7,520
Glimmet,LV12.5,2,5,6,520
Glimmet,LV12,2,7,15,520
Glimmet,LV12.5,2,8,2,520
Glimmet,LV12.5,2,9,1,520
Glimmet,LV12,2,10,11,520
Glimmet,LV12,2,11,10,520
Glimmet,LV12,2,14,6,520
Glimmet,LV12,2,15,5,520
Glimmet,LV13,3,0,0,520
Glimmet,LV12.5,3,0,11,520
Glimmet,LV12.5,3,2,8,520
Glimmet,LV12.5,3,3,7,520
Glimmet,LV12.5,3,6,3,520
Glimmet,LV12,3,6,15,520
Glimmet,LV12.5,3,7,2,520
Glimmet,LV12,3,8,12,520
Glimmet,LV12,3,9,11,520
Glimmet,LV12,3,11,8,520
Glimmet,LV12,3,12,7,520
Glimmet,LV12,3,13,6,520
Glimmet,LV12.5,4,1,8,520
Glimmet,LV12.5,4,2,7,520
Glimmet,LV12.5,4,4,4,520
Glimmet,LV12.5,4,5,3,520
Glimmet,LV12,4,6,13,520
Glimmet,LV12,4,7,12,520
Glimmet,LV12,4,9,9,520
Glimmet,LV12,4,10,8,520
Glimmet,LV12,4,11,7,520
Glimmet,LV12,4,14,3,520
Glimmet,LV12,4,15,2,520
Glimmet,LV11.5,4,15,14,520
Glimmet,LV12.5,5,0,8,520
Glimmet,LV12.5,5,3,4,520
Glimmet,LV12,5,5,13,520
Glimmet,LV12.5,5,6,0,520
Glimmet,LV12,5,8,9,520
Glimmet,LV12,5,9,8,520
Glimmet,LV12,5,12,4,520
Glimmet,LV12,5,13,3,520
Glimmet,LV11.5,5,13,15,520
Glimmet,LV12,5,14,2,520
Glimmet,LV11.5,5,14,14,520
Glimmet,LV12.5,6,1,5,520
Glimmet,LV12.5,6,2,4,520
Glimmet,LV12,6,3,14,520
Glimmet,LV12,6,4,13,520
Glimmet,LV12.5,6,5,0,520
Glimmet,LV12,6,6,10,520
Glimmet,LV12,6,7,9,520
Glimmet,LV12,6,10,5,520
Glimmet,LV12,6,11,4,520
Glimmet,LV11.5,6,12,15,520
Glimmet,LV11.5,6,15,11,520
Glimmet,LV12.5,7,0,5,520
Glimmet,LV12,7,2,14,520
Glimmet,LV12.5,7,3,1,520
Glimmet,LV12.5,7,4,0,520
Glimmet,LV12,7,5,10,520
Glimmet,LV12,7,8,6,520
Glimmet,LV12,7,9,5,520
Glimmet,LV12,7,13,0,520
Glimmet,LV11.5,7,13,12,520
Glimmet,LV11.5,7,14,11,520
Glimmet,LV12,8,1,14,520
Glimmet,LV12.5,8,2,1,520
Glimmet,LV12.5,8,3,0,520
Glimmet,LV12,8,3,11,520
Glimmet,LV12,8,4,10,520
Glimmet,LV12,8,6,7,520
Glimmet,LV12,8,7,6,520
Glimmet,LV12,8,10,2,520
Glimmet,LV12,8,11,1,520
Glimmet,LV11.5,8,11,13,520
Glimmet,LV12,8,12,0,520
Glimmet,LV11.5,8,12,12,520
Glimmet,LV11.5,8,15,8,520
Glimmet,LV12.5,9,0,2,520
Glimmet,LV12,9,0,14,520
Glimmet,LV12.5,9,1,1,520
Glimmet,LV12,9,2,11,520
Glimmet,LV12,9,5,7,520
Glimmet,LV12,9,6,6,520
Glimmet,LV12,9,8,3,520
Glimmet,LV12,9,9,2,520
Glimmet,LV11.5,9,9,14,520
Glimmet,LV12,9,10,1,520
Glimmet,LV11.5,9,10,13,520
Glimmet,LV11.5,9,13,9,520
Glimmet,LV11.5,9,14,8,520
Glimmet,LV12.5,10,0,1,520
Glimmet,LV12,10,1,11,520
Glimmet,LV12,10,3,8,520
Glimmet,LV12,10,4,7,520
Glimmet,LV12,10,7,3,520
Glimmet,LV11.5,10,7,15,520
Glimmet,LV12,10,8,2,520
Glimmet,LV11.5,10,8,14,520
Glimmet,LV11.5,10,11,10,520
Glimmet,LV11.5,10,12,9,520
Glimmet,LV11.5,10,15,5,520
Glimmet,LV12,11,0,11,520
Glimmet,LV12,11,2,8,520
Glimmet,LV12,11,3,7,520
Glimmet,LV12,11,5,4,520
Glimmet,LV12,11,6,3,520
Glimmet,LV11.5,11,6,15,520
