Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Klawf,LV8.5,0,7,13,520
Klawf,LV8.5,0,8,12,520
Klawf,LV8.5,0,9,11,520
Klawf,LV8.5,0,10,10,520
Klawf,LV8.5,0,11,9,520
Klawf,LV8.5,0,12,8,520
Klawf,LV8.5,0,13,7,520
Klawf,LV8.5,0,14,6,520
Klawf,LV8.5,0,15,5,520
Klawf,LV8.5,1,7,11,520
Klawf,LV8.5,1,8,10,520
Klawf,LV8.5,1,9,9,520
Klawf,LV8.5,1,10,8,520
Klawf,LV8.5,1,11,7,520
Klawf,LV8.5,1,12,6,520
Klawf,LV8.5,1,13,5,520
Klawf,LV8.5,1,14,4,520
Klawf,LV8.5,2,6,10,520
Klawf,LV8.5,2,7,9,520
Klawf,LV8.5,2,8,8,520
Klawf,LV8.5,2,9,7,520
Klawf,LV8.5,2,10,6,520
Klawf,LV8.5,2,11,5,520
Klawf,LV8.5,2,12,4,520
Klawf,LV8.5,2,13,3,520
Klawf,LV8.5,3,5,9,520
Klawf,LV8.5,3,6,8,520
Klawf,LV8.5,3,7,7,520
Klawf,LV8.5,3,8,6,520
Klawf,LV8.5,3,9,5,520
Klawf,LV8.5,3,10,4,520
Klawf,LV8.5,3,11,3,520
Klawf,LV8.5,3,12,2,520
Klawf,LV8.5,4,3,9,520
Klawf,LV8.5,4,4,8,520
Klawf,LV8.5,4,5,7,520
Klawf,LV8.5,4,6,6,520
Klawf,LV8.5,4,7,5,520
Klawf,LV8.5,4,8,4,520
Klawf,LV8.5,4,9,3,520
Klawf,LV8.5,4,10,2,520
Klawf,LV8.5,4,11,1,520
Klawf,LV8.5,5,0,10,520
Klawf,LV8.5,5,1,9,520
Klawf,LV8.5,5,2,8,520
Klawf,LV8.5,5,3,7,520
Klawf,LV8.5,5,4,6,520
Klawf,LV8.5,5,5,5,520
Klawf,LV8.5,5,6,4,520
Klawf,LV8.5,5,7,3,520
Klawf,LV8.5,5,8,2,520
Klawf,LV8.5,5,9,1,520
Klawf,LV8.5,6,0,8,520
Klawf,LV8.5,6,1,7,520
Klawf,LV8.5,6,2,6,520
Klawf,LV8.5,6,3,5,520
Klawf,LV8.5,6,4,4,520
Klawf,LV8.5,6,5,3,520
Klawf,LV8.5,6,6,2,520
Klawf,LV8.5,6,7,1,520
Klawf,LV8.5,6,8,0,520
Klawf,LV8.5,7,0,6,520
Klawf,LV8.5,7,1,5,520
Klawf,LV8.5,7,2,4,520
Klawf,LV8.5,7,3,3,520
Klawf,LV8.5,7,4,2,520
Klawf,LV8.5,7,5,1,520
Klawf,LV8.5,7,6,0,520
Klawf,LV8,7,15,15,520
Klawf,LV8.5,8,0,4,520
Klawf,LV8.5,8,1,3,520
Klawf,LV8.5,8,2,2,520
Klawf,LV8.5,8,3,1,520
Klawf,LV8.5,8,4,0,520
Klawf,LV8,8,13,15,520
Klawf,LV8,8,14,14,520
Klawf,LV8,8,15,13,520
Klawf,LV8.5,9,0,2,520
Klawf,LV8.5,9,1,1,520
Klawf,LV8,9,11,15,520
Klawf,LV8,9,12,14,520
Klawf,LV8,9,13,13,520
Klawf,LV8,10,9,15,520
Klawf,LV8,10,10,14,520
Klawf,LV8,10,11,13,520
Klawf,LV8,10,12,12,520
Klawf,LV8,11,7,15,520
Klawf,LV8,11,8,14,520
Klawf,LV8,11,9,13,520
Klawf,LV8,11,10,12,520
Klawf,LV8,11,15,8,520
Klawf,LV8,12,5,15,520
Klawf,LV8,12,6,14,520
Klawf,LV8,12,7,13,520
Klawf,LV8,12,8,12,520
Klawf,LV8,12,13,8,520
Klawf,LV8,12,14,7,520
Klawf,LV8,12,15,6,520
Klawf,LV8,13,3,15,520
Klawf,LV8,13,4,14,520
Klawf,LV8,13,5,13,520
Klawf,LV8,13,12,7,520
Klawf,LV8,13,13,6,520
Klawf,LV8,13,14,5,520
Klawf,LV8,13,15,4,520
Klawf,LV8,14,9,8,520
Klawf,LV8,14,10,7,520
Klawf,LV8,14,11,6,520
Klawf,LV8,14,12,5,520
Klawf,LV8,14,13,4,520
Klawf,LV8,14,14,3,520
Klawf,LV8,14,15,2,520
Klawf,LV8,15,6,9,520
Klawf,LV8,15,7,8,520
Klawf,LV8,15,8,7,520
Klawf,LV8,15,9,6,520
Klawf,LV8,15,10,5,520
Klawf,LV8,15,11,4,520
Klawf,LV8,15,12,3,520
Klawf,LV8,15,13,2,520
