Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Nacli,LV23.5,0,0,12,520
Nacli,LV24,0,1,4,520
Nacli,LV24,0,2,3,520
Nacli,LV23.5,0,2,9,520
Nacli,LV23.5,0,3,8,520
Nacli,LV24,0,4,0,520
Nacli,LV23,0,4,13,520
Nacli,LV23.5,0,5,5,520
Nacli,LV23,0,5,12,520
Nacli,LV23.5,0,6,4,520
Nacli,LV23,0,7,9,520
Nacli,LV23.5,0,8,1,520
Nacli,LV23.5,0,9,0,520
Nacli,LV22.5,0,9,13,520
Nacli,LV23,0,10,5,520
Nacli,LV22.5,0,10,12,520
Nacli,LV23,0,11,4,520
Nacli,LV22.5,0,12,9,520
Nacli,LV23,0,13,1,520
Nacli,LV22.5,0,13,8,520
Nacli,LV22,0,13,15,520
Nacli,LV23,0,14,0,520
Nacli,LV23.5,1,0,9,520
Nacli,LV24,1,1,1,520
Nacli,LV23,1,1,14,520
Nacli,LV23.5,1,2,6,520
Nacli,LV23,1,3,11,520
Nacli,LV23.5,1,4,3,520
Nacli,LV23,1,4,10,520
Nacli,LV23.5,1,5,2,520
Nacli,LV23,1,6,7,520
Nacli,LV22.5,1,6,14,520
Nacli,LV23,1,7,6,520
Nacli,LV22.5,1,8,11,520
Nacli,LV23,1,9,3,520
Nacli,LV22.5,1,9,10,520
Nacli,LV23,1,10,2,520
Nacli,LV22.5,1,11,7,520
Nacli,LV22,1,11,14,520
Nacli,LV22.5,1,12,6,520
Nacli,LV22,1,12,13,520
Nacli,LV22.5,1,15,2,520
Nacli,LV22,1,15,9,520
Nacli,LV23,2,0,12,520
Nacli,LV23.5,2,1,4,520
Nacli,LV23,2,1,11,520
Nacli,LV23.5,2,2,3,520
Nacli,LV23,2,3,8,520
Nacli,LV22.5,2,3,15,520
Nacli,LV23.5,2,4,0,520
Nacli,LV23,2,5,5,520
Nacli,LV22.5,2,5,12,520
Nacli,LV23,2,6,4,520
Nacli,LV22.5,2,8,8,520
Nacli,LV22,2,8,15,520
Nacli,LV23,2,9,0,520
Nacli,LV22.5,2,11,4,520
Nacli,LV22,2,11,11,520
Nacli,LV22.5,2,12,3,520
Nacli,LV22,2,14,7,520
Nacli,LV22,2,15,6,520
Nacli,LV21.5,2,15,13,520
Nacli,LV23,3,0,9,520
Nacli,LV23.5,3,1,1,520
Nacli,LV23.5,3,2,0,520
Nacli,LV23,3,2,6,520
Nacli,LV22.5,3,2,13,520
Nacli,LV23,3,3,5,520
Nacli,LV22.5,3,4,10,520
Nacli,LV23,3,5,2,520
Nacli,LV22.5,3,5,9,520
Nacli,LV23,3,6,1,520
Nacli,LV22.5,3,7,6,520
Nacli,LV22,3,7,13,520
Nacli,LV22.5,3,8,5,520
Nacli,LV22,3,8,12,520
Nacli,LV22,3,10,9,520
Nacli,LV22.5,3,11,1,520
Nacli,LV22,3,11,8,520
Nacli,LV21.5,3,11,15,520
Nacli,LV22.5,3,12,0,520
Nacli,LV21.5,3,12,14,520
Nacli,LV22,3,13,5,520
Nacli,LV22,3,14,4,520
Nacli,LV21.5,3,14,11,520
Nacli,LV22,3,15,3,520
Nacli,LV21.5,3,15,10,520
Nacli,LV23,4,0,6,520
Nacli,LV22.5,4,0,13,520
Nacli,LV23,4,2,3,520
Nacli,LV22.5,4,2,10,520
Nacli,LV23,4,3,2,520
Nacli,LV22.5,4,4,7,520
Nacli,LV22,4,4,14,520
Nacli,LV22.5,4,5,6,520
Nacli,LV22,4,5,13,520
Nacli,LV22.5,4,7,3,520
Nacli,LV22,4,7,10,520
Nacli,LV22.5,4,8,2,520
Nacli,LV22,4,9,7,520
Nacli,LV22,4,10,6,520
Nacli,LV21.5,4,10,13,520
Nacli,LV22,4,11,5,520
Nacli,LV21.5,4,11,12,520
Nacli,LV22,4,13,2,520
Nacli,LV21.5,4,13,9,520
