Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Naclstack,LV17,0,0,12,520
Naclstack,LV17,0,1,11,520
Naclstack,LV17,0,2,10,520
Naclstack,LV17,0,3,9,520
Naclstack,LV17,0,4,8,520
Naclstack,LV17,0,5,7,520
Naclstack,LV17,0,6,6,520
Naclstack,LV17,0,7,5,520
Naclstack,LV16.5,0,7,15,520
Naclstack,LV17,0,8,4,520
Naclstack,LV16.5,0,8,14,520
Naclstack,LV17,0,9,3,520
Naclstack,LV16.5,0,9,13,520
Naclstack,LV17,0,10,2,520
Naclstack,LV16.5,0,10,12,520
Naclstack,LV17,0,11,1,520
Naclstack,LV16.5,0,11,11,520
Naclstack,LV17,0,12,0,520
Naclstack,LV16.5,0,12,10,520
Naclstack,LV16.5,0,13,9,520
Naclstack,LV16.5,0,14,8,520
Naclstack,LV16.5,0,15,7,520
Naclstack,LV17,1,0,9,520
Naclstack,LV17,1,1,8,520
Naclstack,LV17,1,2,7,520
Naclstack,LV17,1,3,6,520
Naclstack,LV17,1,4,5,520
Naclstack,LV17,1,5,4,520
Naclstack,LV17,1,6,3,520
Naclstack,LV17,1,7,2,520
Naclstack,LV17,1,8,1,520
Naclstack,LV17,1,9,0,520
Naclstack,LV16.5,1,13,6,520
Naclstack,LV16.5,1,14,5,520
Naclstack,LV16,1,14,15,520
Naclstack,LV16.5,1,15,4,520
Naclstack,LV16,1,15,14,520
Naclstack,LV17,2,0,6,520
Naclstack,LV17,2,1,5,520
Naclstack,LV17,2,2,4,520
Naclstack,LV17,2,3,3,520
Naclstack,LV17,2,4,2,520
Naclstack,LV17,2,5,1,520
Naclstack,LV17,2,6,0,520
Naclstack,LV16,2,11,15,520
Naclstack,LV16,2,12,14,520
Naclstack,LV16.5,2,13,3,520
Naclstack,LV16,2,13,13,520
Naclstack,LV16.5,2,14,2,520
Naclstack,LV16,2,14,12,520
Naclstack,LV16.5,2,15,1,520
Naclstack,LV16,2,15,11,520
Naclstack,LV17,3,0,3,520
Naclstack,LV17,3,1,2,520
Naclstack,LV17,3,2,1,520
Naclstack,LV17,3,3,0,520
Naclstack,LV16.5,3,12,1,520
Naclstack,LV16.5,3,13,0,520
Naclstack,LV16,3,14,9,520
Naclstack,LV16,3,15,8,520
Naclstack,LV17,4,0,0,520
Naclstack,LV16.5,4,10,0,520
Naclstack,LV16,4,14,6,520
Naclstack,LV16,4,15,5,520
Naclstack,LV15.5,4,15,15,520
Naclstack,LV15.5,5,12,15,520
Naclstack,LV16,5,13,4,520
Naclstack,LV15.5,5,13,14,520
Naclstack,LV16,5,14,3,520
Naclstack,LV15.5,5,14,13,520
Naclstack,LV16,5,15,2,520
Naclstack,LV15.5,5,15,12,520
Naclstack,LV15.5,6,9,15,520
Naclstack,LV15.5,6,10,14,520
Naclstack,LV16,6,11,3,520
Naclstack,LV15.5,6,11,13,520
Naclstack,LV16,6,12,2,520
Naclstack,LV15.5,6,12,12,520
Naclstack,LV16,6,13,1,520
Naclstack,LV15.5,6,13,11,520
Naclstack,LV16,6,14,0,520
Naclstack,LV15.5,6,14,10,520
Naclstack,LV15.5,6,15,9,520
Naclstack,LV16.5,7,1,0,520
Naclstack,LV15.5,7,6,15,520
Naclstack,LV15.5,7,7,14,520
Naclstack,LV15.5,7,8,13,520
Naclstack,LV16,7,9,2,520
Naclstack,LV15.5,7,9,12,520
Naclstack,LV16,7,10,1,520
Naclstack,LV15.5,7,10,11,520
Naclstack,LV16,7,11,0,520
Naclstack,LV15.5,7,11,10,520
Naclstack,LV15.5,7,12,9,520
Naclstack,LV15.5,7,13,8,520
Naclstack,LV15.5,7,14,7,520
Naclstack,LV15.5,7,15,6,520
Naclstack,LV15.5,8,3,15,520
Naclstack,LV15.5,8,4,14,520
Naclstack,LV16,8,5,3,520
Naclstack,LV15.5,8,5,13,520
Naclstack,LV16,8,6,2,520
Naclstack,LV15.5,8,6,12,520
Naclstack,LV16,8,7,1,520
Naclstack,LV15.5,8,7,11,520
Naclstack,LV16,8,8,0,520
Naclstack,LV15.5,8,8,10,520
Naclstack,LV15.5,8,9,9,520
Naclstack,LV15.5,8,10,8,520
Naclstack,LV15.5,8,11,7,520
Naclstack,LV15.5,8,12,6,520
Naclstack,LV15.5,8,13,5,520
Naclstack,LV15,8,14,15,520
Naclstack,LV15,8,15,14,520
Naclstack,LV16,9,0,5,520
Naclstack,LV15.5,9,0,15,520
Naclstack,LV16,9,1,4,520
Naclstack,LV15.5,9,1,14,520
Naclstack,LV16,9,2,3,520
Naclstack,LV15.5,9,2,13,520
Naclstack,LV16,9,3,2,520
Naclstack,LV15.5,9,3,12,520
