Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Wattrel,LV28,0,0,11,520
Wattrel,LV28.5,0,1,5,520
Wattrel,LV27.5,0,1,14,520
Wattrel,LV28,0,2,8,520
Wattrel,LV28.5,0,3,2,520
Wattrel,LV28,0,3,6,520
Wattrel,LV27.5,0,3,11,520
Wattrel,LV27.5,0,4,9,520
Wattrel,LV27,0,4,14,520
Wattrel,LV28,0,5,3,520
Wattrel,LV27.5,0,6,6,520
Wattrel,LV28,0,7,0,520
Wattrel,LV27,0,7,9,520
Wattrel,LV26.5,0,7,14,520
Wattrel,LV27.5,0,8,3,520
Wattrel,LV27,0,9,6,520
Wattrel,LV26.5,0,9,11,520
Wattrel,LV27.5,0,10,0,520
Wattrel,LV27,0,11,3,520
Wattrel,LV26.5,0,11,8,520
Wattrel,LV26,0,12,11,520
Wattrel,LV26.5,0,13,5,520
Wattrel,LV25.5,0,13,15,520
Wattrel,LV26.5,0,15,2,520
Wattrel,LV26,0,15,7,520
Wattrel,LV25.5,0,15,12,520
Wattrel,LV29,1,0,0,520
Wattrel,LV28,1,0,9,520
Wattrel,LV28,1,1,7,520
Wattrel,LV28.5,1,2,1,520
Wattrel,LV27.5,1,2,10,520
Wattrel,LV27,1,2,15,520
Wattrel,LV28,1,3,4,520
Wattrel,LV27,1,3,13,520
Wattrel,LV27.5,1,5,5,520
Wattrel,LV27,1,5,10,520
Wattrel,LV26.5,1,5,15,520
Wattrel,LV27,1,6,8,520
Wattrel,LV26.5,1,6,13,520
Wattrel,LV27.5,1,7,2,520
Wattrel,LV27,1,8,5,520
Wattrel,LV26.5,1,8,10,520
Wattrel,LV26,1,8,15,520
Wattrel,LV27,1,10,2,520
Wattrel,LV26.5,1,10,7,520
Wattrel,LV26,1,10,12,520
Wattrel,LV26,1,11,10,520
Wattrel,LV26.5,1,12,4,520
Wattrel,LV25.5,1,12,14,520
Wattrel,LV26.5,1,14,1,520
Wattrel,LV26,1,14,6,520
Wattrel,LV25.5,1,14,11,520
Wattrel,LV26.5,1,15,0,520
Wattrel,LV28.5,2,0,2,520
Wattrel,LV27.5,2,0,11,520
